subject,my_mac,their_mac,rssi,local_time
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-93,1683305148
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-94,1683305178
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683305208
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-93,1683305419
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-96,1683305449
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-93,1683305480
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683305480
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-97,1683305510
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-88,1683305510
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-95,1683305540
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683305540
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-95,1683305570
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683305570
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-93,1683305570
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-93,1683305600
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-87,1683305600
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-96,1683305600
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683305600
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-96,1683305630
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-96,1683305630
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-96,1683305630
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-97,1683305630
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-95,1683305661
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683305661
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-97,1683305691
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-88,1683305721
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-93,1683305721
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-95,1683305752
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-95,1683305782
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-95,1683305812
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-95,1683305873
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-89,1683305873
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-87,1683305903
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-92,1683305903
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-88,1683305933
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-91,1683305933
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-89,1683305963
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-91,1683305963
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-95,1683305963
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-92,1683305993
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-90,1683305993
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683305993
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-97,1683306024
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-97,1683306054
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683306084
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-97,1683306114
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-94,1683306145
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-94,1683306175
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-90,1683306206
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-91,1683306206
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-97,1683306206
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-90,1683306236
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-96,1683306236
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683306297
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-89,1683306508
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-96,1683306539
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-95,1683306600
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-97,1683306781
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-95,1683306811
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-96,1683306811
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-96,1683306841
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-91,1683306841
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-96,1683306841
