subject,my_mac,their_mac,rssi,local_time
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-87,1683290113
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-97,1683290113
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-99,1683290143
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-95,1683290173
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-95,1683290173
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-71,1683290173
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-88,1683290204
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-93,1683290204
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-68,1683290204
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-93,1683290234
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-71,1683290234
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-85,1683290264
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-71,1683290264
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-71,1683290294
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-70,1683290324
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-71,1683290354
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-72,1683290385
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-87,1683290415
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:CA,-95,1683290446
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-91,1683290446
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-84,1683290446
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-89,1683290476
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-97,1683290506
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-74,1683290506
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-74,1683290536
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-91,1683290566
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-77,1683290566
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-92,1683290597
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-98,1683290597
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-77,1683290597
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-91,1683290627
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-79,1683290627
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-96,1683290657
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-73,1683290657
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-74,1683290687
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-69,1683290717
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-74,1683290748
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:CA,-97,1683290778
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-89,1683290778
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-68,1683290778
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-97,1683290808
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-94,1683290808
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:CA,-91,1683290839
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-77,1683290839
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:D0,-96,1683290839
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-92,1683290839
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-94,1683290869
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-96,1683290869
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:CA,-99,1683290899
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-85,1683290899
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-95,1683290929
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-82,1683290929
