subject,my_mac,data_type,data_value,local_time
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683306762
,6C:B2:FD:CE:31:0C,xl,0.00,1683306743
,6C:B2:FD:CE:31:0C,xl,0.00,1683306804
,6C:B2:FD:CE:31:0C,xl,0.00,1683306870
,6C:B2:FD:CE:31:0C,xl,0.00,1683306946
,6C:B2:FD:CE:31:0C,deg_c,32.75,1683307062
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683307062
,6C:B2:FD:CE:31:0C,xl,0.00,1683307024
,6C:B2:FD:CE:31:0C,xl,0.00,1683307089
,6C:B2:FD:CE:31:0C,xl,0.00,1683307211
,6C:B2:FD:CE:31:0C,xl,0.00,1683307272
,6C:B2:FD:CE:31:0C,deg_c,33.00,1683307362
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683307362
,6C:B2:FD:CE:31:0C,xl,0.00,1683307332
,6C:B2:FD:CE:31:0C,xl,0.00,1683307392
,6C:B2:FD:CE:31:0C,xl,0.00,1683307463
,6C:B2:FD:CE:31:0C,xl,0.00,1683307523
,6C:B2:FD:CE:31:0C,xl,0.00,1683307586
,6C:B2:FD:CE:31:0C,deg_c,32.50,1683307662
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683307662
,6C:B2:FD:CE:31:0C,xl,0.00,1683307724
,6C:B2:FD:CE:31:0C,xl,0.00,1683307785
,6C:B2:FD:CE:31:0C,xl,0.00,1683307852
,6C:B2:FD:CE:31:0C,deg_c,32.50,1683307962
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683307962
,6C:B2:FD:CE:31:0C,xl,0.00,1683307925
,6C:B2:FD:CE:31:0C,xl,0.00,1683308007
,6C:B2:FD:CE:31:0C,xl,0.00,1683308069
,6C:B2:FD:CE:31:0C,xl,0.00,1683308132
,6C:B2:FD:CE:31:0C,deg_c,33.25,1683308262
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683308262
,6C:B2:FD:CE:31:0C,xl,0.00,1683308203
,6C:B2:FD:CE:31:0C,xl,0.00,1683308263
,6C:B2:FD:CE:31:0C,xl,0.00,1683308324
,6C:B2:FD:CE:31:0C,xl,0.00,1683308388
,6C:B2:FD:CE:31:0C,xl,0.00,1683308468
,6C:B2:FD:CE:31:0C,deg_c,34.00,1683308562
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683308562
,6C:B2:FD:CE:31:0C,xl,0.00,1683308536
,6C:B2:FD:CE:31:0C,xl,0.00,1683308598
,6C:B2:FD:CE:31:0C,xl,0.00,1683308659
,6C:B2:FD:CE:31:0C,xl,0.00,1683308719
,6C:B2:FD:CE:31:0C,xl,0.00,1683308781
,6C:B2:FD:CE:31:0C,deg_c,34.00,1683308862
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683308862
,6C:B2:FD:CE:31:0C,xl,0.00,1683308849
,6C:B2:FD:CE:31:0C,xl,0.00,1683308924
,6C:B2:FD:CE:31:0C,xl,0.00,1683308985
,6C:B2:FD:CE:31:0C,xl,0.00,1683309065
,6C:B2:FD:CE:31:0C,deg_c,34.00,1683309162
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683309162
,6C:B2:FD:CE:31:0C,xl,0.00,1683309147
,6C:B2:FD:CE:31:0C,xl,0.00,1683309217
,6C:B2:FD:CE:31:0C,xl,0.00,1683309282
,6C:B2:FD:CE:31:0C,xl,0.00,1683309351
,6C:B2:FD:CE:31:0C,deg_c,34.75,1683309462
,6C:B2:FD:CE:31:0C,vbatt,3.86,1683309462
,6C:B2:FD:CE:31:0C,xl,0.00,1683309412
,6C:B2:FD:CE:31:0C,xl,0.00,1683309473
,6C:B2:FD:CE:31:0C,xl,0.00,1683309534
,6C:B2:FD:CE:31:0C,xl,0.00,1683309595
,6C:B2:FD:CE:31:0C,xl,0.00,1683309658
,6C:B2:FD:CE:31:0C,deg_c,34.75,1683309762
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683309762
,6C:B2:FD:CE:31:0C,xl,0.00,1683309724
,6C:B2:FD:CE:31:0C,xl,0.00,1683309785
,6C:B2:FD:CE:31:0C,xl,0.00,1683309845
,6C:B2:FD:CE:31:0C,xl,0.00,1683309906
,6C:B2:FD:CE:31:0C,xl,0.00,1683309980
,6C:B2:FD:CE:31:0C,deg_c,38.00,1683310062
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683310062
,6C:B2:FD:CE:31:0C,xl,0.00,1683310040
,6C:B2:FD:CE:31:0C,xl,0.00,1683310105
,6C:B2:FD:CE:31:0C,xl,0.00,1683310166
,6C:B2:FD:CE:31:0C,xl,0.00,1683310226
,6C:B2:FD:CE:31:0C,xl,0.00,1683310286
,6C:B2:FD:CE:31:0C,deg_c,34.25,1683310362
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683310362
,6C:B2:FD:CE:31:0C,xl,0.00,1683310350
,6C:B2:FD:CE:31:0C,xl,0.00,1683310412
,6C:B2:FD:CE:31:0C,xl,0.00,1683310473
,6C:B2:FD:CE:31:0C,xl,0.00,1683310534
,6C:B2:FD:CE:31:0C,xl,0.00,1683310596
,6C:B2:FD:CE:31:0C,deg_c,32.00,1683310662
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683310662
,6C:B2:FD:CE:31:0C,xl,0.00,1683310691
,6C:B2:FD:CE:31:0C,xl,0.00,1683310756
,6C:B2:FD:CE:31:0C,xl,0.00,1683310858
,6C:B2:FD:CE:31:0C,deg_c,30.25,1683310962
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683310962
,6C:B2:FD:CE:31:0C,xl,0.00,1683310936
,6C:B2:FD:CE:31:0C,xl,0.00,1683311015
,6C:B2:FD:CE:31:0C,xl,0.00,1683311107
,6C:B2:FD:CE:31:0C,xl,0.00,1683311168
,6C:B2:FD:CE:31:0C,deg_c,30.25,1683311262
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683311262
,6C:B2:FD:CE:31:0C,xl,0.00,1683311230
,6C:B2:FD:CE:31:0C,xl,0.00,1683311290
,6C:B2:FD:CE:31:0C,xl,0.00,1683311354
,6C:B2:FD:CE:31:0C,xl,0.00,1683311415
,6C:B2:FD:CE:31:0C,xl,0.00,1683311478
,6C:B2:FD:CE:31:0C,deg_c,30.75,1683311562
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683311562
,6C:B2:FD:CE:31:0C,xl,0.00,1683311538
,6C:B2:FD:CE:31:0C,xl,0.00,1683311598
,6C:B2:FD:CE:31:0C,xl,0.00,1683311661
,6C:B2:FD:CE:31:0C,xl,0.00,1683311721
,6C:B2:FD:CE:31:0C,xl,0.00,1683311782
,6C:B2:FD:CE:31:0C,deg_c,32.00,1683311862
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683311862
,6C:B2:FD:CE:31:0C,xl,0.00,1683311932
,6C:B2:FD:CE:31:0C,deg_c,31.00,1683312162
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683312162
,6C:B2:FD:CE:31:0C,deg_c,30.50,1683312462
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683312462
,6C:B2:FD:CE:31:0C,xl,0.00,1683312413
,6C:B2:FD:CE:31:0C,xl,0.00,1683312479
,6C:B2:FD:CE:31:0C,xl,0.00,1683312540
,6C:B2:FD:CE:31:0C,deg_c,31.25,1683312762
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683312762
,6C:B2:FD:CE:31:0C,xl,0.00,1683312732
,6C:B2:FD:CE:31:0C,xl,0.00,1683312811
,6C:B2:FD:CE:31:0C,xl,0.00,1683312949
,6C:B2:FD:CE:31:0C,deg_c,31.00,1683313062
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683313062
,6C:B2:FD:CE:31:0C,xl,0.00,1683313054
,6C:B2:FD:CE:31:0C,xl,0.00,1683313202
,6C:B2:FD:CE:31:0C,deg_c,31.00,1683313362
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683313362
,6C:B2:FD:CE:31:0C,xl,0.00,1683313329
,6C:B2:FD:CE:31:0C,xl,0.00,1683313400
,6C:B2:FD:CE:31:0C,xl,0.00,1683313463
,6C:B2:FD:CE:31:0C,xl,0.00,1683313526
,6C:B2:FD:CE:31:0C,deg_c,30.00,1683313662
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683313662
,6C:B2:FD:CE:31:0C,xl,0.00,1683313728
,6C:B2:FD:CE:31:0C,deg_c,29.00,1683313962
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683313962
,6C:B2:FD:CE:31:0C,xl,0.00,1683313922
,6C:B2:FD:CE:31:0C,xl,0.00,1683314036
,6C:B2:FD:CE:31:0C,deg_c,28.50,1683314262
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683314262
,6C:B2:FD:CE:31:0C,xl,0.00,1683314223
,6C:B2:FD:CE:31:0C,xl,0.00,1683314315
,6C:B2:FD:CE:31:0C,xl,0.00,1683314380
,6C:B2:FD:CE:31:0C,xl,0.00,1683314440
,6C:B2:FD:CE:31:0C,deg_c,29.00,1683314562
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683314562
,6C:B2:FD:CE:31:0C,xl,0.00,1683314598
,6C:B2:FD:CE:31:0C,xl,0.00,1683314697
,6C:B2:FD:CE:31:0C,deg_c,28.25,1683314862
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683314862
,6C:B2:FD:CE:31:0C,xl,0.00,1683314846
,6C:B2:FD:CE:31:0C,xl,0.00,1683315058
,6C:B2:FD:CE:31:0C,deg_c,28.00,1683315162
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683315162
,6C:B2:FD:CE:31:0C,xl,0.00,1683315128
,6C:B2:FD:CE:31:0C,xl,0.00,1683315195
,6C:B2:FD:CE:31:0C,xl,0.00,1683315255
,6C:B2:FD:CE:31:0C,xl,0.00,1683315336
,6C:B2:FD:CE:31:0C,deg_c,29.00,1683315462
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683315462
,6C:B2:FD:CE:31:0C,xl,0.00,1683315483
,6C:B2:FD:CE:31:0C,xl,0.00,1683315549
,6C:B2:FD:CE:31:0C,xl,0.00,1683315702
,6C:B2:FD:CE:31:0C,deg_c,28.75,1683315762
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683315762
,6C:B2:FD:CE:31:0C,xl,0.00,1683315814
,6C:B2:FD:CE:31:0C,xl,0.00,1683315878
,6C:B2:FD:CE:31:0C,xl,0.00,1683315939
,6C:B2:FD:CE:31:0C,deg_c,31.75,1683316062
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683316062
,6C:B2:FD:CE:31:0C,xl,0.00,1683316014
,6C:B2:FD:CE:31:0C,xl,0.00,1683316091
,6C:B2:FD:CE:31:0C,xl,0.00,1683316152
,6C:B2:FD:CE:31:0C,xl,0.00,1683316216
,6C:B2:FD:CE:31:0C,xl,0.00,1683316286
,6C:B2:FD:CE:31:0C,deg_c,32.50,1683316362
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683316362
,6C:B2:FD:CE:31:0C,xl,0.00,1683316347
,6C:B2:FD:CE:31:0C,xl,0.00,1683316410
,6C:B2:FD:CE:31:0C,xl,0.00,1683316472
,6C:B2:FD:CE:31:0C,xl,0.00,1683316537
,6C:B2:FD:CE:31:0C,xl,0.00,1683316600
,6C:B2:FD:CE:31:0C,deg_c,31.50,1683316662
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683316662
,6C:B2:FD:CE:31:0C,xl,0.00,1683316661
,6C:B2:FD:CE:31:0C,xl,0.00,1683316729
,6C:B2:FD:CE:31:0C,xl,0.00,1683316790
,6C:B2:FD:CE:31:0C,xl,0.00,1683316859
,6C:B2:FD:CE:31:0C,deg_c,31.75,1683316962
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683316962
,6C:B2:FD:CE:31:0C,xl,0.00,1683316920
,6C:B2:FD:CE:31:0C,xl,0.00,1683316981
,6C:B2:FD:CE:31:0C,xl,0.00,1683317041
,6C:B2:FD:CE:31:0C,xl,0.00,1683317102
,6C:B2:FD:CE:31:0C,xl,0.00,1683317162
,6C:B2:FD:CE:31:0C,deg_c,32.75,1683317262
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683317262
,6C:B2:FD:CE:31:0C,xl,0.00,1683317224
,6C:B2:FD:CE:31:0C,xl,0.00,1683317286
,6C:B2:FD:CE:31:0C,xl,0.00,1683317395
,6C:B2:FD:CE:31:0C,xl,0.00,1683317468
,6C:B2:FD:CE:31:0C,deg_c,31.50,1683317562
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683317562
,6C:B2:FD:CE:31:0C,xl,0.00,1683317528
,6C:B2:FD:CE:31:0C,xl,0.00,1683317592
,6C:B2:FD:CE:31:0C,xl,0.00,1683317653
,6C:B2:FD:CE:31:0C,xl,0.00,1683317713
,6C:B2:FD:CE:31:0C,deg_c,31.00,1683317862
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683317862
,6C:B2:FD:CE:31:0C,xl,0.00,1683317924
,6C:B2:FD:CE:31:0C,xl,0.00,1683318039
,6C:B2:FD:CE:31:0C,xl,0.00,1683318101
,6C:B2:FD:CE:31:0C,deg_c,30.50,1683318162
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683318162
,6C:B2:FD:CE:31:0C,xl,0.00,1683318169
,6C:B2:FD:CE:31:0C,xl,0.00,1683318230
,6C:B2:FD:CE:31:0C,xl,0.00,1683318294
,6C:B2:FD:CE:31:0C,xl,0.00,1683318383
,6C:B2:FD:CE:31:0C,deg_c,30.00,1683318462
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683318462
,6C:B2:FD:CE:31:0C,xl,0.00,1683318454
,6C:B2:FD:CE:31:0C,xl,0.00,1683318524
,6C:B2:FD:CE:31:0C,xl,0.00,1683318632
,6C:B2:FD:CE:31:0C,deg_c,30.25,1683318762
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683318762
,6C:B2:FD:CE:31:0C,xl,0.00,1683318854
,6C:B2:FD:CE:31:0C,deg_c,30.00,1683319062
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683319062
,6C:B2:FD:CE:31:0C,xl,0.00,1683319120
,6C:B2:FD:CE:31:0C,deg_c,30.00,1683319362
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683319362
,6C:B2:FD:CE:31:0C,xl,0.00,1683319386
,6C:B2:FD:CE:31:0C,xl,0.00,1683319469
